지역,2018년 개수(EA),2018년 무게(㎏),2019년 개수(EA),2019년 무게(㎏),2020년 개수(EA),2020년 무게(㎏)
강화여차리갯벌,2004,357.6,1485,81.6,791,31.4
안산말부흥,75,2.2,57,1.7,38,1.2
태안백리포,126,140.2,135,103.4,809,28.4
보령석대도,297,813.4,179,196.8,92,89.3
부안변산,165,346.1,153,215.6,99,106.8
신안임자도,340,149.6,532,104,85,43
진도하조도,157,23.8,109,26.5,38,1.2
해남묵동리,62,11.9,313,36,48,2.1
고흥신흥,704,188.8,186,28.1,142,16.3
순천반월,1488,54.1,382,11.8,131,4.6
사천아두도,416,52,1240,35.6,701,36.2
통영망일봉,643,19.9,1177,27.8,1030,47.6
마산봉암갯벌,758,15.2,644,19.3,666,171.4
부산해양대,1493,13.5,2324,12.3,452,9.1
울산대왕암,1256,45.2,2117,15.6,1066,7.8
포항칠포,1115,52.2,1047,32.3,653,57.7
울진후정,572,9.5,800,21.3,321,9.9
강릉송정,131,9.7,186,1.8,303,5.1
속초청초,685,49.3,977,14.4,595,16.3
인천백령도 사곶해안,304,115.9,114,63.8,51,31
인천영종도 용유해변,71,6.4,71,5.5,42,2.2
인천덕적도 서포리해변,100,7.8,107,3.3,84,1.7
태안안면도 바람아래해변,306,553.8,181,180.2,940,27.2
서천다사항해변,134,89.6,303,243.3,101,66.5
고창동호해변,253,108.4,202,37,301,72.8
영광백바위해변,373,139.6,211,50.4,148,76.1
신안고장리해변,380,100.2,400,210.8,661,122.7
해남예락해변,241,83.2,205,114.8,169,16.3
해남송평해변,359,125,258,117.4,206,32.6
제주김녕리해안,1151,195.9,1193,83.3,726,48.1
완도신지도해변,206,83.4,328,148.4,1113,129
여수백야도해변,809,45.5,348,12.1,169,6
고흥염포해변,529,51.3,652,78.8,213,11.7
남해유구해변,365,62.9,174,12.9,248,22.4
거제두모몽돌해변,8075,77.7,5282,54.7,2693,32.1
울주진하해변,2939,113.3,1039,54.6,761,34.7
동해노봉해변,159,2.7,368,7.8,366,10.7
영덕고래불해변,516,25.7,722,8.6,928,23.5
포항구룡포 대보해변,2103,53.1,4494,213.6,2776,66.9
제주사계리해안,71,3.4,25,11.4,190,24.8
