구분,2021개수(EA),2021무게(㎏)
강화여차리,415,13.1
안산말부흥,114,2.9
태안백리포,941,56.5
보령석대도,106,122.6
부안변산,174,181.6
신안임자도,132,30
진도하조도,194,8.6
해남묵동리,311,11.7
고흥신흥,328,27.9
여수반월,251,8
사천아두도,407,26.6
통영망일봉,1361,66.8
마산봉암,903,9.7
부산해양대,1509,18.2
울산대왕암,1861,27.7
포항칠포,1256,56.9
울진후정,459,13.4
강릉송정,781,7.6
속초청초,1118,18.7
인천백령도,657,12.9
인천영종도,81,5.5
인천영흥도,59,2.2
태안안면도,850,64.6
서천다사항,179,112
고창동호,728,104.3
영광백바위,246,78.8
신안고장,534,109.8
해남예락,385,113.5
해남송평,440,68.1
제주김녕리,833,146
완도신지도,765,88.6
여수백야도,368,11
고흥염포,367,10.1
남해유구,311,33.7
거제두모,4614,54.7
울주나사리,1450,58.7
동해노봉,1163,11.7
영덕고래불,421,3.4
포항구룡포,4181,236.8
제주사계리,441,61.9
고성하일,2004,46.4
군산선유도,199,4
당진석문,218,2
보령삽시도,307,8.6
부산가덕도,2613,80.9
부산일광,2310,37.8
시흥정왕,668,8.4
신안압해도,261,66.8
신안우이도,3440,399.6
신안흑산도,8017,724.6
여수거문도,3280,130.7
여수안도,9999,194.4
완도보길도,2710,96.9
완도평일도,893,98.3
울릉현포,1530,407.3
울산주전,1610,138.7
제주위미,1986,42.8
진도가사도,1501,186.6
통영욕지도,49102,880.6
화성서신,110,1.8
